date,granularidad,geocode,gcd_isla,gcd_gcomarca,gcd_comarca,poblacion,poblacion_edad_media,poblacion_hombres,poblacion_mujeres,poblacion_indice_feminidad,poblacion_nacional,poblacion_extranjera,poblacion_extranjera_pc,poblacion_00a14,poblacion_15a64,poblacion_65mas,poblacion_65a74,poblacion_75a84,poblacion_85mas,poblacion_00a14_pc,poblacion_15a64_pc,poblacion_65mas_pc,poblacion_indice_dependencia,poblacion_indice_dependencia_mayores,poblacion_indice_dependencia_menores,poblacion_indice_vejez,poblacion_indice_juventud,poblacion_indice_sobreenvejecimiento,poblacion_indice_ancianidad,superficie,poblacion_ds,poblacion_extranjera_ds,poblacion_00a02,poblacion_03a05,poblacion_06a11,poblacion_12a15,poblacion_16a17,poblacion_00a17,poblacion_nacida_canarias,poblacion_nacida_es_xcanarias,poblacion_nacida_extranjero,poblacion_nacida_canarias_pc,poblacion_nacida_es_xcanarias_pc,poblacion_nacida_extranjero_pc
2016-01-01,MUNICIPIO,38052,ES709,ES709A3,ES709A31,1630,45.7,841,789,93.82,1484,146,8.96,178,1104,348,169,124,55,10.92,67.73,21.35,47.64,31.52,16.12,195.51,51.15,15.8,35.63,5627.11,28.97,2.59,18,30,82,60,37,227,1349,61,220,82.76,3.74,13.5
2016-01-01,MUNICIPIO,38053,ES707,ES707A0,ES707A01,4821,44.3,2412,2409,99.88,4425,396,8.21,601,3218,1002,488,342,172,12.47,66.75,20.78,49.81,31.14,18.68,166.72,59.98,17.17,34.13,7067.2,68.22,5.6,100,111,242,199,90,742,3889,167,765,80.67,3.46,15.87
2016-01-01,MUNICIPIO,38901,ES703,ES703A0,ES703A00,1743,47.7,904,839,92.81,1599,144,8.26,188,1107,448,195,172,81,10.79,63.51,25.7,57.45,40.47,16.98,238.3,41.96,18.08,38.39,8273.68,21.07,1.74,31,38,85,57,31,242,1228,92,423,70.45,5.28,24.27
2017-01-01,MUNICIPIO,35001,ES705,ES705A2,ES705A22,5526,44.9,2757,2769,100.44,5267,259,4.69,619,3810,1097,553,378,166,11.2,68.95,19.85,45.04,28.79,16.25,177.22,56.43,15.13,34.46,4451.16,124.15,5.82,112,100,253,212,88,765,4976,235,315,90.05,4.25,5.7
2017-01-01,MUNICIPIO,35002,ES705,ES705A3,ES705A32,30882,39.1,15668,15214,97.1,29221,1661,5.38,4981,22529,3372,1964,1059,349,16.13,72.95,10.92,37.08,14.97,22.11,67.7,147.72,10.35,31.41,7889.72,391.42,21.05,796,902,2174,1458,703,6033,26333,1619,2930,85.27,5.24,9.49
2017-01-01,MUNICIPIO,35003,ES704,ES704A0,ES704A01,11405,41.1,6096,5309,87.09,6545,4860,42.61,1515,8429,1461,1024,339,98,13.28,73.91,12.81,35.31,17.33,17.97,96.44,103.7,6.71,23.2,25024.8,45.57,19.42,256,322,649,397,184,1808,4719,1604,5082,41.38,14.06,44.56
2017-01-01,MUNICIPIO,35004,ES708,ES708A0,ES708A01,59771,38.1,29961,29810,99.5,49953,9818,16.43,9839,43826,6106,3717,1788,601,16.46,73.32,10.22,36.38,13.93,22.45,62.06,161.14,9.84,29.28,2427.54,2462.2,404.44,1770,1814,4174,2750,1362,11870,35131,8411,16229,58.78,14.07,27.15
2017-01-01,MUNICIPIO,35005,ES705,ES705A2,ES705A23,1096,50.4,592,504,85.14,1091,5,0.46,54,761,281,138,92,51,4.93,69.43,25.64,44.02,36.93,7.1,520.37,19.22,18.15,32.74,6641.9,16.5,0.08,9,8,20,24,14,75,1063,11,22,96.99,1,2.01
2017-01-01,MUNICIPIO,35006,ES705,ES705A1,ES705A10,37367,41.9,18578,18789,101.14,36729,638,1.71,5179,26501,5687,3050,1916,721,13.86,70.92,15.22,41,21.46,19.54,109.81,91.07,12.68,33.69,3283.87,1137.9,19.43,774,918,2244,1642,795,6373,34501,1426,1440,92.33,3.82,3.85
2017-01-01,MUNICIPIO,35007,ES704,ES704A0,ES704A01,710,45.2,373,337,90.35,591,119,16.76,83,474,153,87,46,20,11.69,66.76,21.55,49.79,32.28,17.51,184.34,54.25,13.07,30.07,10370.9,6.85,1.15,15,15,36,25,14,105,572,16,122,80.56,2.25,17.18
